NOME_CURSO,ID_CURSO
Jornalismo Bacharelado - CAMPUS UFSM-FW,1848
Letras - Lic - Hab. Português e Literatura Língua Portuguesa,970
Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,971
Letras - Lic.- Hab. Inglês e Literaturas Língua Inglesa,969
Letras - Português e Literaturas/Distância/Cachoeira do Sul/RS,1355
Letras - Português e Literaturas/Distância/Constantina/RS,2200
Letras - Português e Literaturas/Distância/Restinga Seca/RS,1086
Letras - Português e Literaturas/Distância/Sobradinho/RS,1210
Letras - Português e Literaturas/Distância/Tio Hugo/RS,1354
Letras - Português e Literaturas/Distância/Três Passos/RS,1096
Licenc. Letras Espanhol - Literaturas/Distância/Constantina/RS,1873
Licenc. Letras Espanhol - Literaturas/Distância/Itaqui/RS,1135
Licenc. Letras Espanhol - Literaturas/Distância/Jacuizinho/RS,2197
Licenc. Letras Espanhol - Literaturas/Distância/Quaraí/RS,1137
Licenc. Letras Espanhol - Literaturas/Distância/Santa Maria/RS,1585
Licenc. Letras Espanhol - Literaturas/Distância/Santo Antônio da Patrulha/RS,2198
Licenc. Letras Espanhol - Literaturas/Distância/Sobradinho/RS,1472
Licenc. Letras Espanhol - Literaturas/Distância/Tio Hugo/RS,1666
Licenc. Letras Espanhol - Literaturas/Distância/Três de Maio,1473
Licenc. Letras Espanhol - Literaturas/Distância/Uruguaiana/RS,2199
Licenc. Letras Espanhol - Literaturas/Distância/Vila Flores,1463
Licenciatura em Ciências da Religião/EAD/Bagé/RS,2304
Licenciatura em Ciências da Religião/EAD/Balneário Pinhal/RS,2305
Licenciatura em Ciências da Religião/EAD/Cruz Alta/RS,2306
Licenciatura em Ciências da Religião/EAD/Quaraí/RS,1861
Licenciatura em Ciências da Religião/EAD/Serafina Corrêa/RS,2307
Licenciatura em Ciências da Religião/EAD/Vila Flores/RS,2308
Licenciatura em Ciências Sociais,1608
Licenciatura em Computação/EAD/Cachoeira do Sul/RS,2185
Licenciatura em Computação/EAD/Constantina/RS,2184
Licenciatura em Computação/EAD/Jacuizinho/RS,2186
Licenciatura em Computação/EAD/Tio Hugo/RS,2187
Licenciatura em Computação/EAD/Três de Maio/RS,2188
Licenciatura em Educação do Campo/Distância/Agudo/RS,1872
Licenciatura em Educação do Campo/Distância/Balneário Pinhal/RS,1972
Licenciatura em Educação do Campo/Distância/Canguçu/RS,2314
Licenciatura em Educação do Campo/Distância/Encantado/RS,1995
Licenciatura em Educação do Campo/Distância/Novo Hamburgo/RS,2000
Licenciatura em Educação do Campo/Distância/Santana do Livramento/RS,1978
Licenciatura em Educação do Campo/Distância/Santiago/RS,2318
Licenciatura em Educação do Campo/Distância/São Gabriel/RS,2315
Licenciatura em Educação do Campo/Distância/São Lourenço do Sul/RS,1984
Licenciatura em Educação do Campo/Distância/Seberi/RS,1871
Licenciatura em Educação do Campo/Distância/Serafina Corrêa/RS,2316
Licenciatura em Educação do Campo/Distância/Sobradinho/RS,1988
Licenciatura em Educação do Campo/Distância/Três de Maio/RS,2317
Licenciatura em Educação Especial - Noturno,1188
Licenciatura em Educação Indígena/Distância/Constantina/RS,2060
Licenciatura em Educação Indígena/Distância/Palmeira das Missões/RS,2044
Licenciatura em Educação Indígena/Distância/Tapejara/RS,2024
Licenciatura em Educação Indígena/Distância/Três Passos/RS,2040
Licenciatura em Teatro,1187
Matemática - Bacharelado,985
Matemática - Licenciatura Plena,984
Matemática - Licenciatura Plena - Noturno,685
Medicina,694
Medicina Veterinária,710
